#Id Teff err [Fe/H] err Mv err age/Gyr err mass/Msun err logg err R/Rsun err B-V/mag err 
hd18645 5496 35 0.04 0.03 2.572 0.206 2.970 0.567 1.473 0.073 3.632 0.067 2.972 0.304 0.785 0.011 
hd18667 4898 33 -0.10 0.03 2.807 0.419 6.613 2.137 1.135 0.103 3.344 0.115 3.637 0.589 0.987 0.012 
hd18742 4967 31 -0.18 0.03 2.165 0.229 3.730 0.784 1.315 0.089 3.199 0.073 4.627 0.469 0.960 0.011 
hd19522 5596 20 -0.10 0.02 2.654 0.269 3.599 1.445 1.325 0.098 3.722 0.085 2.537 0.334 0.754 0.006 
hd19659 5718 25 0.09 0.01 2.214 0.108 2.566 0.349 1.565 0.042 3.571 0.034 3.294 0.168 0.721 0.007 
hd21340 4937 15 -0.11 0.01 1.740 0.200 2.288 0.459 1.576 0.108 3.068 0.066 5.889 0.629 0.969 0.006 
hd21449 4797 38 0.05 0.03 1.271 0.254 1.726 0.349 1.824 0.134 2.738 0.102 9.257 1.047 1.023 0.017 
hd21581 4872 32 -1.59 0.02 1.745 0.538 9.437 1.939 0.857 0.052 1.940 0.068 15.903 1.430 0.970 0.013 
hd22233 5182 20 0.00 0.01 1.831 0.361 1.719 0.474 1.771 0.166 3.353 0.111 4.495 0.785 0.884 0.007 
hd22657 4827 38 -0.01 0.02 2.370 0.233 5.166 1.488 1.245 0.103 3.157 0.078 4.724 0.496 1.019 0.014 
hd22682 5079 25 -0.02 0.01 2.391 0.089 2.301 0.166 1.604 0.041 3.376 0.031 4.168 0.185 0.920 0.008 
hd22844 5284 25 0.21 0.02 3.083 0.159 3.782 0.776 1.399 0.058 3.717 0.052 2.632 0.214 0.859 0.008 
hd23134 4897 36 -0.01 0.02 2.209 0.412 4.087 1.457 1.333 0.151 3.261 0.129 4.339 0.843 0.994 0.014 
hd23825 5637 15 0.15 0.01 2.743 0.191 3.317 2.828 1.393 0.088 3.747 0.066 2.538 0.233 0.748 0.004 
hd24148 4958 29 -0.06 0.02 1.869 0.355 2.015 0.888 1.677 0.270 3.065 0.194 6.097 1.834 0.964 0.010 
hd24316 4804 22 -0.10 0.02 1.445 0.303 3.184 1.010 1.422 0.151 2.828 0.160 7.370 1.645 1.022 0.009 
hd24365 5177 18 -0.25 0.01 2.894 0.209 3.697 0.633 1.284 0.070 3.582 0.053 2.942 0.254 0.883 0.006 
hd25622 5024 18 -0.05 0.01 1.704 0.309 1.705 0.449 1.759 0.162 3.170 0.110 5.533 0.947 0.937 0.007 
hd25975 4993 32 0.09 0.02 2.849 0.033 3.250 0.152 1.450 0.029 3.466 0.028 3.570 0.100 0.960 0.013 
hd26007 4822 32 -0.27 0.03 1.794 0.409 6.255 2.453 1.119 0.127 2.860 0.157 6.307 1.290 1.008 0.012 
hd26634 4925 21 -0.25 0.01 1.935 0.269 4.124 1.059 1.261 0.097 3.071 0.068 5.252 0.572 0.970 0.008 
hd27297 5206 26 -0.03 0.02 2.614 0.378 3.385 1.054 1.395 0.143 3.632 0.109 2.893 0.509 0.877 0.009 
hd27956 4930 26 -0.15 0.02 2.274 0.283 4.372 1.058 1.264 0.092 3.218 0.079 4.439 0.512 0.973 0.010 
hd28678 5059 28 -0.17 0.02 1.669 0.458 1.349 0.519 1.904 0.269 2.941 0.187 7.495 2.119 0.927 0.007 
hd28737 4717 32 -0.23 0.02 2.058 0.415 8.093 2.596 1.052 0.095 2.762 0.098 6.839 0.956 1.047 0.013 
hd30128 4998 42 0.16 0.03 1.340 0.485 1.387 0.513 1.951 0.247 3.154 0.165 5.932 1.469 0.961 0.019 
hd30166 4756 31 -0.14 0.02 1.981 0.185 6.745 1.877 1.126 0.088 2.900 0.061 6.038 0.514 1.039 0.012 
hd30856 4951 29 -0.09 0.01 2.557 0.182 4.027 0.676 1.305 0.066 3.319 0.061 4.014 0.326 0.969 0.010 
hd30882 4803 36 -0.12 0.02 2.394 0.294 7.427 2.223 1.099 0.092 3.080 0.089 4.850 0.597 1.020 0.013 
hd31018 5907 29 0.16 0.02 2.914 0.185 3.311 0.888 1.415 0.069 3.885 0.059 2.178 0.191 0.674 0.008 
hd31451 5005 26 -0.08 0.02 2.508 0.246 3.430 0.590 1.373 0.083 3.396 0.080 3.767 0.435 0.949 0.010 
hd31543 5569 58 0.05 0.05 1.892 0.409 2.397 0.914 1.584 0.171 3.543 0.137 3.415 0.720 0.761 0.017 
hd31693 4915 33 -0.10 0.02 1.838 0.303 3.137 1.047 1.421 0.162 3.108 0.108 5.342 0.915 0.982 0.013 
hd33142 5021 33 0.05 0.02 2.462 0.197 2.590 0.379 1.556 0.078 3.383 0.063 4.069 0.374 0.945 0.013 
hd33240 4814 36 -0.13 0.03 2.275 0.348 6.756 2.273 1.126 0.107 3.069 0.097 4.975 0.693 1.016 0.013 
hd33298 5390 11 -0.20 0.01 2.852 0.830 6.005 4.308 1.072 0.162 3.890 0.259 1.887 0.689 0.816 0.004 
hd33844 4860 58 0.23 0.03 2.273 0.140 2.951 0.693 1.535 0.118 3.196 0.070 5.012 0.370 1.032 0.026 
hd34538 4927 22 -0.28 0.01 2.043 0.041 4.195 0.550 1.244 0.049 3.048 0.030 5.352 0.144 0.967 0.008 
hd34909 5014 25 -0.02 0.01 2.386 0.326 3.014 0.648 1.458 0.108 3.419 0.101 3.781 0.570 0.945 0.010 
hd37445 4919 22 -0.12 0.02 1.570 0.501 2.481 1.267 1.555 0.284 2.976 0.238 6.497 2.337 0.975 0.009 
hd37601 4954 26 0.05 0.01 2.191 0.049 2.328 0.189 1.615 0.045 3.234 0.028 4.927 0.149 0.970 0.010 
hd38505 5047 54 0.13 0.02 2.391 0.282 2.408 0.521 1.614 0.117 3.410 0.090 4.019 0.536 0.942 0.021 
hd39142 4876 36 -0.10 0.03 1.306 0.463 2.063 0.814 1.668 0.239 2.777 0.186 8.464 2.258 0.991 0.016 
hd39731 5155 29 0.01 0.02 2.564 0.495 3.832 1.580 1.352 0.169 3.653 0.128 2.782 0.580 0.896 0.010 
