#Id Teff err [Fe/H] err Mv err age/Gyr err mass/Msun err logg err R/Rsun err B-V/mag err 
hd193391 5045 40 0.13 0.02 2.633 0.329 2.998 0.760 1.497 0.131 3.516 0.114 3.426 0.593 0.941 0.015 
hd194541 4776 38 0.10 0.03 2.199 0.143 4.328 0.889 1.328 0.085 3.074 0.058 5.370 0.374 1.049 0.014 
hd195787 5003 36 -0.12 0.02 2.241 0.200 3.079 0.588 1.420 0.094 3.264 0.069 4.457 0.434 0.951 0.014 
hd195824 5116 20 -0.07 0.02 2.687 0.264 3.112 0.619 1.421 0.102 3.540 0.096 3.245 0.471 0.907 0.007 
hd196645 5085 15 -0.10 0.01 2.934 0.157 3.493 0.353 1.355 0.052 3.561 0.050 3.091 0.231 0.917 0.005 
hd197162 4894 39 -0.37 0.02 2.050 0.203 7.039 2.071 1.058 0.088 2.974 0.071 5.378 0.505 0.976 0.014 
hd198599 5004 49 0.00 0.04 -0.907 0.924 0.838 0.295 2.345 0.282 2.727 0.114 10.641 1.977 0.964 0.011 
hd200081 4983 40 -0.05 0.02 0.938 0.359 1.143 0.264 2.088 0.160 2.820 0.061 9.022 0.873 0.957 0.008 
hd200491 5124 36 0.02 0.02 1.786 0.252 1.488 0.280 1.864 0.121 3.265 0.075 5.107 0.600 0.906 0.012 
hd200964 5000 29 -0.20 0.02 2.201 0.081 3.188 0.370 1.377 0.057 3.195 0.038 4.754 0.204 0.948 0.011 
hd202696 4854 47 0.07 0.03 2.606 0.286 5.068 1.422 1.258 0.101 3.293 0.097 4.059 0.506 1.018 0.017 
hd202867 5128 18 -0.08 0.01 2.661 0.258 3.020 0.593 1.433 0.100 3.531 0.095 3.293 0.477 0.902 0.006 
hd203471 5472 29 0.00 0.02 2.418 0.320 2.996 0.835 1.456 0.120 3.639 0.102 2.928 0.461 0.791 0.009 
hd205163 5033 38 0.13 0.02 1.410 0.524 1.540 0.597 1.874 0.246 3.240 0.150 5.266 1.244 0.943 0.014 
hd206610 4806 39 0.11 0.03 1.915 0.400 3.262 1.708 1.469 0.264 3.064 0.172 5.709 1.585 1.034 0.017 
hd206635 5004 15 -0.22 0.01 2.912 0.206 5.439 1.071 1.164 0.064 3.416 0.060 3.391 0.311 0.941 0.006 
hd207077 5108 21 -0.42 0.02 2.604 0.275 4.679 1.195 1.168 0.086 3.362 0.074 3.612 0.412 0.900 0.007 
hd208585 5053 31 -0.02 0.02 2.192 0.290 2.328 0.506 1.593 0.119 3.352 0.095 4.270 0.615 0.930 0.011 
hd210011 5165 38 0.14 0.02 0.537 0.199 0.599 0.074 2.596 0.114 2.913 0.062 9.060 0.855 0.892 0.013 
hd210521 5085 25 -0.07 0.01 2.029 0.247 1.953 0.362 1.672 0.105 3.293 0.072 4.681 0.527 0.916 0.008 
hd210702 4984 33 0.06 0.03 2.237 0.046 2.251 0.204 1.633 0.053 3.271 0.032 4.746 0.152 0.960 0.013 
hd212771 5089 26 -0.09 0.02 2.016 0.228 1.945 0.342 1.667 0.100 3.282 0.068 4.733 0.496 0.914 0.009 
hd213278 5203 21 -0.24 0.01 2.439 0.303 2.902 0.692 1.402 0.118 3.500 0.105 3.377 0.549 0.874 0.007 
hd215049 5187 25 0.03 0.01 3.027 0.217 3.623 0.660 1.369 0.087 3.681 0.071 2.711 0.303 0.885 0.008 
hd215549 4896 28 -0.30 0.01 2.507 0.078 8.843 1.421 1.006 0.045 3.127 0.040 4.398 0.184 0.978 0.010 
hd215908 5106 14 -0.28 0.01 2.014 0.250 2.413 0.466 1.485 0.102 3.262 0.083 4.575 0.589 0.904 0.005 
hd216834 5133 25 -0.29 0.01 2.056 0.339 2.673 0.733 1.429 0.139 3.337 0.125 4.113 0.780 0.897 0.008 
hd217496 5058 21 -0.07 0.01 2.576 0.263 3.071 0.548 1.429 0.094 3.468 0.095 3.536 0.493 0.927 0.007 
hd217591 5093 28 -0.14 0.02 2.401 0.202 2.681 0.402 1.480 0.079 3.380 0.067 3.985 0.394 0.913 0.010 
hd217681 4944 43 0.13 0.02 2.581 0.243 3.336 0.703 1.447 0.105 3.387 0.083 3.907 0.464 0.987 0.019 
hd219553 4893 57 0.24 0.03 2.536 0.178 3.300 0.740 1.481 0.109 3.316 0.074 4.291 0.380 1.020 0.025 
hd220122 4934 32 -0.23 0.01 1.282 0.779 3.052 1.912 1.421 0.299 2.925 0.284 6.591 2.799 0.967 0.012 
hd220952 4972 32 0.01 0.02 2.366 0.141 2.792 0.350 1.508 0.067 3.301 0.051 4.406 0.302 0.964 0.013 
hd221504 5380 36 0.30 0.02 3.190 0.155 3.981 2.906 1.344 0.078 3.793 0.053 2.364 0.184 0.830 0.011 
hd222112 4839 65 0.20 0.04 2.316 0.422 4.496 1.805 1.336 0.171 3.265 0.152 4.321 0.927 1.042 0.024 
hd223627 4865 47 0.05 0.02 2.208 0.331 4.140 1.260 1.336 0.127 3.215 0.107 4.578 0.689 1.015 0.017 
hd224679 5689 25 0.07 0.01 1.748 0.374 2.178 0.812 1.643 0.156 3.506 0.122 3.630 0.675 0.728 0.007 
hd225021 5024 33 0.23 0.02 1.920 0.243 1.542 0.288 1.895 0.118 3.276 0.072 5.079 0.573 0.950 0.012 
hd236427 5145 14 0.02 0.01 3.062 0.178 3.518 0.486 1.381 0.069 3.653 0.060 2.811 0.262 0.899 0.005 
hip43212 4933 25 0.06 0.02 1.268 0.669 1.123 0.389 2.128 0.259 2.836 0.138 8.937 1.923 0.983 0.007 
hip87123 4839 32 -0.17 0.02 2.612 0.190 8.570 1.820 1.045 0.062 3.154 0.068 4.341 0.375 1.004 0.011 
